ts,event_name,user_pseudo_id,session_key,page_path,viewport_bucket,viewport_profile,viewport_group,track_id,zone,click_x_bucket,click_y_bucket,scroll_depth_bucket,session_add_to_cart,session_purchase
2026-01-27 22:44:20.992607 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/2,390-429,393x873,mobile,,,,,25.0,1,0
2026-01-27 22:44:20.992607 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/2,390-429,393x873,mobile,,,,,50.0,1,0
2026-01-27 22:44:20.992607 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/2,390-429,393x873,mobile,,,,,75.0,1,0
2026-01-27 22:44:20.992607 UTC,ui_click,68452117.17695537,68452117.1769553712-1769553711,/product/2,390-429,393x873,mobile,buy-now-2,,5.0,4.0,,1,0
2026-01-27 22:44:04.552613 UTC,ui_click,68452117.17695537,68452117.1769553712-1769553711,/product/16,390-429,393x873,mobile,qty-plus,,3.0,3.0,,1,0
2026-01-27 22:44:02.178645 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/16,390-429,393x873,mobile,,,,,50.0,1,0
2026-01-27 22:44:02.178645 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/16,390-429,393x873,mobile,,,,,75.0,1,0
2026-01-27 22:44:02.178645 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/16,390-429,393x873,mobile,,,,,90.0,1,0
2026-01-27 22:44:02.178645 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/16,390-429,393x873,mobile,,,,,25.0,1,0
2026-01-27 22:44:02.178645 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/16,390-429,393x873,mobile,,,,,50.0,1,0
2026-01-27 22:44:02.178645 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/16,390-429,393x873,mobile,,,,,75.0,1,0
2026-01-27 22:44:02.178645 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/16,390-429,393x873,mobile,,,,,90.0,1,0
2026-01-27 22:43:59.166646 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/2,390-429,393x873,mobile,,,,,25.0,1,0
2026-01-27 22:43:59.166646 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/2,390-429,393x873,mobile,,,,,50.0,1,0
2026-01-27 22:43:59.166646 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/2,390-429,393x873,mobile,,,,,75.0,1,0
2026-01-27 22:43:59.166646 UTC,scroll_depth,68452117.17695537,68452117.1769553712-1769553711,/product/2,390-429,393x873,mobile,,,,,90.0,1,0
